"layer_id","layer","feature_id","bioshift_long_cent","bioshift_lat_cent","area_m2","area_km2","calculation_status"
"1","A1_P1",1,6.62110251757266,46.1078481124636,462518996.154272,462.518996154272,"success"
"2","A1_P2",1,5.22593536915874,44.1468256447832,254082042.349431,254.082042349431,"success"
"3","A10_P1",1,-98.806995588751,39.8917067651249,7926699454144.79,7926699.45414479,"success"
"4","A100_P1",1,7.36103430817844,45.7926874300513,816205.832504797,0.816205832504797,"success"
"5","A100_P2",1,7.36103430817844,45.7926874300513,816205.832504797,0.816205832504797,"success"
"6","A100_P3",1,7.36103430817844,45.7926874300513,816205.832504797,0.816205832504797,"success"
"7","A101_P1",1,-71.2995296597378,-12.8718173622358,13800795185.301,13800.795185301,"success"
"8","A102_P1",1,121.29461206663,24.1934904473248,9446026.19566479,9.44602619566479,"success"
"9","A102_P2",1,121.29461206663,24.1934904473248,9446026.19566479,9.44602619566479,"success"
"10","A102_P3",1,121.29461206663,24.1934904473248,9446026.19566479,9.44602619566479,"success"
"11","A102_P4",1,121.267094172929,24.1622244753594,4799491.71527722,4.79949171527722,"success"
"12","A102_P5",1,121.267094172929,24.1622244753594,4799491.71527722,4.79949171527722,"success"
"13","A102_P6",1,121.267094172929,24.1622244753594,4799491.71527722,4.79949171527722,"success"
"14","A103_P1",1,58.2111424573258,-39.1703919308304,1851617297116.69,1851617.29711669,"success"
"15","A104_P1",1,-3.56490652832313,40.3596351641994,493125403566.959,493125.403566959,"success"
"16","A105_P1",1,116.541875248389,6.03531380351923,15626641.7475966,15.6266417475966,"success"
"17","A106_P1",1,116.541875248389,6.03531380351923,15626641.7475966,15.6266417475966,"success"
"18","A107_P1",1,-85.6641802456145,44.8369731769926,249940572328.109,249940.572328109,"success"
"19","A108_P1",1,-85.6641802456145,44.8369731769926,249940572328.109,249940.572328109,"success"
"20","A109_P1",1,-116.427433647771,33.2695334904554,4899542963.88652,4899.54296388652,"success"
"21","A11_P1",1,-1.91619343503823,54.3089653,NA,NA,"area_failed"
"21","A11_P1",2,-4.54817833062864,54.2234599297386,586336038.757315,586.336038757315,"success"
"21","A11_P1",3,-5.2402952646554,55.5750849098496,421787234.110378,421.787234110378,"success"
"21","A11_P1",4,-5.09616922778356,55.8302498555992,121243246.733096,121.243246733096,"success"
"21","A11_P1",5,-5.91130590928973,55.9652810689564,370343718.614818,370.343718614817,"success"
"21","A11_P1",6,-6.2497812452269,55.766537577258,623851080.828302,623.851080828302,"success"
"21","A11_P1",7,-1.25031182301294,60.3957217054297,1611532001.88129,1611.53200188129,"success"
"21","A11_P1",8,-6.02872235482594,56.4489479856068,925019964.723472,925.019964723472,"success"
"21","A11_P1",9,-6.87994038981514,57.9044754486622,3230444481.29034,3230.44448129034,"success"
"21","A11_P1",10,-6.23771309074596,57.3641413186138,1789315480.80864,1789.31548080864,"success"
"21","A11_P1",11,-2.99822452548069,59.0485173299616,1602307194.92075,1602.30719492075,"success"
"22","A11_P2",1,-1.91619343503823,54.3089653,NA,NA,"area_failed"
"22","A11_P2",2,-4.54817833062864,54.2234599297386,586336038.757315,586.336038757315,"success"
"22","A11_P2",3,-5.2402952646554,55.5750849098496,421787234.110378,421.787234110378,"success"
"22","A11_P2",4,-5.09616922778356,55.8302498555992,121243246.733096,121.243246733096,"success"
"22","A11_P2",5,-5.91130590928973,55.9652810689564,370343718.614818,370.343718614817,"success"
"22","A11_P2",6,-6.2497812452269,55.766537577258,623851080.828302,623.851080828302,"success"
"22","A11_P2",7,-1.25031182301294,60.3957217054297,1611532001.88129,1611.53200188129,"success"
"22","A11_P2",8,-6.02872235482594,56.4489479856068,925019964.723472,925.019964723472,"success"
"22","A11_P2",9,-6.87994038981514,57.9044754486622,3230444481.29034,3230.44448129034,"success"
"22","A11_P2",10,-6.23771309074596,57.3641413186138,1789315480.80864,1789.31548080864,"success"
"22","A11_P2",11,-2.99822452548069,59.0485173299616,1602307194.92075,1602.30719492075,"success"
"23","A110_P1",1,-85.7068669114248,50.3572675294702,991301650484.011,991301.650484011,"success"
"24","A110_P2",1,-85.7068669114248,50.3572675294702,991301650484.011,991301.650484011,"success"
"25","A111_P1",1,14.5894406389661,58.1309807418042,134110389168.213,134110.389168213,"success"
"26","A112_P1",1,147.09592016714,-42.2563145901438,17699128243.4282,17699.1282434282,"success"
"27","A113_P1",1,26.1970769514045,64.2644104917052,331702507067.094,331702.507067094,"success"
"28","A113_P2",1,26.1970769514045,64.2644104917052,331702507067.094,331702.507067094,"success"
"29","A113_P3",1,26.1970769514045,64.2644104917052,331702507067.094,331702.507067094,"success"
"30","A113_P4",1,26.1970769514045,64.2644104917052,331702507067.094,331702.507067094,"success"
"31","A113_P5",1,26.1970769514045,64.2644104917052,331702507067.094,331702.507067094,"success"
"32","A114_P1",1,26.1970769514045,64.2644104917052,331702507067.094,331702.507067094,"success"
"33","A115_P1",1,-121.323847339976,40.3978758805733,15344307418.0654,15344.3074180654,"success"
"34","A115_P2",1,-119.912111386553,37.8536816891552,10367435914.8811,10367.4359148811,"success"
"35","A115_P3",1,-118.858596707075,36.1510523392538,27472839197.2356,27472.8391972356,"success"
"36","A116_P1",1,37.8376042340597,63.852231467668,99714657151478.8,99714657.1514788,"success"
"37","A117_P1",1,177.784702114845,51.8953866832724,28584334871.6541,28584.3348716541,"success"
"37","A117_P1",2,-173.952194332604,52.4907887139626,51702674947.6405,51702.6749476405,"success"
"38","A117_P2",1,-168.549223652104,58.2102743724399,334299340373.093,334299.340373093,"success"
