"species_harmonized","usageKey"
"Tringa stagnatilis","GBIF:2481719"
"Parkesia motacilla","GBIF:6093862"
"Acanthis hornemanni","GBIF:5231646"
"Stellaria media","GBIF:5384604"
"Luscinia megarhynchos","GBIF:7660710"
"Anoplopoma fimbria","GBIF:2335062"
"Cheilosia morio","GBIF:1540231"
"Stenotomus caprinus","GBIF:2392449"
"Lygephila pastinum","GBIF:4532405"
"Apamea sordens","GBIF:1796117"
"Orthosia cruda","GBIF:1798933"
"Noctua fimbriata","GBIF:1789745"
"Persicaria hydropiper","GBIF:8323622"
"Pleuronectes quadrituberculatus","GBIF:5213974"
"Fulica americana","GBIF:2474393"
"Hexagrammos decagrammus","GBIF:2336472"
"Sialia sialis","GBIF:2490941"
"Idaea seriata","GBIF:5147039"
"Abax parallelepipedus","GBIF:5754772"
"Sylvia atricapilla","GBIF:2492956"
"Parkesia noveboracensis","GBIF:6093856"
"Lagopus muta","GBIF:5227679"
"Pyrocephalus rubinus","GBIF:2483647"
"Taranucnus setosus","GBIF:2137245"
"Thyatira batis","GBIF:5142870"
"Corvus corone","GBIF:9409796"
"Idaea muricata","GBIF:5147062"
"Atheresthes stomias","GBIF:2409091"
"Sitta pusilla","GBIF:2484904"
"Scorpis lineolata","GBIF:2381262"
"Tautoga onitis","GBIF:2383615"
"Semotilus atromaculatus","GBIF:2360481"
"Ampelisca macrocephala","GBIF:2219419"
"Melanogrammus aeglefinus","GBIF:2415822"
"Erodium cicutarium","GBIF:9485490"
"Arenaria interpres","GBIF:2481776"
"Empidonax traillii","GBIF:2482786"
"Agrochola litura","GBIF:1789982"
"Eulithis prunata","GBIF:1965825"
"Ceratophyllum demersum","GBIF:2882398"
"Microstomus pacificus","GBIF:5214028"
"Festuca ovina","GBIF:2704951"
"Icterus spurius","GBIF:5229935"
"Syntomus foveatus","GBIF:4479890"
"Platycheirus granditarsis","GBIF:1543002"
"Seiurus aurocapilla","GBIF:2489590"
"Phalera bucephala","GBIF:5119245"
"Euthrix potatoria","GBIF:1734453"
"Baeolophus bicolor","GBIF:2487887"
"Sphagnum capillifolium","GBIF:8227194"
"Rhizosolenia imbricata","GBIF:5422006"
"Haematopus ostralegus","GBIF:7788295"
"Mergus serrator","GBIF:2498375"
"Abies balsamea","GBIF:2685383"
"Eumerus strigatus","GBIF:1534515"
"Psammodromus algirus","GBIF:2469763"
"Chaetura pelagica","GBIF:4409023"
"Callophrys rubi","GBIF:1932411"
"Philorhizus melanocephalus","GBIF:4480315"
"Heteropterus morpheus","GBIF:5141677"
"Sideridis rivularis","GBIF:4534052"
"Euproctis similis","GBIF:1821911"
"Eupithecia icterata","GBIF:1982500"
"Aira caryophyllea","GBIF:7747216"
"Agonum emarginatum","GBIF:5755060"
"Calathus erratus","GBIF:5755296"
"Etropus crossotus","GBIF:8123721"
"Alopecurus aequalis","GBIF:5290083"
"Spiza americana","GBIF:2490363"
"Charadrius morinellus","GBIF:2480281"
"Aythya ferina","GBIF:2498255"
"Contopus sordidulus","GBIF:5229754"
"Spinus tristis","GBIF:5231640"
"Anthus cervinus","GBIF:2490283"
"Betula papyrifera","GBIF:5332120"
"Lacanobia suasa","GBIF:4533952"
"Mythimna l album","GBIF:5772172"
"Ematurga atomaria","GBIF:1956440"
"Scopula immutata","GBIF:5145009"
"Philereme vetulata","GBIF:1959383"
"Miltochrista miniata","GBIF:1813114"
"Coccyzus americanus","GBIF:2496287"
"Hesperiphona vespertina","GBIF:2494324"
"Sebastes fasciatus","GBIF:10689065"
"Phylloscopus sibillatrix","GBIF:8128385"
"Pohlia nutans","GBIF:5282610"
"Melanerpes carolinus","GBIF:2478106"
"Sebastolobus alascanus","GBIF:2335323"
"Notomastus latericeus","GBIF:2318104"
"Apeira syringaria","GBIF:1962860"
"Melospiza melodia","GBIF:2492196"
"Campylorhynchus brunneicapillus","GBIF:5231474"
"Epirrita autumnata","GBIF:4523560"
"Idaea aversata","GBIF:5146559"
"Herminia grisealis","GBIF:5113078"
"Drepana falcataria","GBIF:5143129"
"Scolelepis bonnieri","GBIF:2321199"
"Bonasa umbellus","GBIF:2473702"
"Oligotrichum hercynicum","GBIF:2683049"
"Tarentola mauritanica","GBIF:2445034"
"Melanargia galathea","GBIF:7854318"
"Frangula alnus","GBIF:3039454"
"Abraxas sylvata","GBIF:1967815"
"Calathus rotundicollis","GBIF:5755451"
"Emberiza schoeniclus","GBIF:2491557"
"Limanda aspera","GBIF:5213950"
"Sitta canadensis","GBIF:2484879"
"Ennucula tenuis","GBIF:2285597"
"Paralithodes platypus","GBIF:2224357"
"Melanerpes formicivorus","GBIF:2478133"
"Anarhichas lupus","GBIF:8006460"
"Hypericum perforatum","GBIF:3189486"
"Phragmatobia fuliginosa","GBIF:1804071"
"Macaria notata","GBIF:5880550"
"Comibaena bajularia","GBIF:4523522"
"Pararge aegeria","GBIF:8049830"
"Eremophila alpestris","GBIF:9415596"
"Potamogeton gramineus","GBIF:5301183"
"Sorbus aucuparia","GBIF:3012167"
"Syrphus vitripennis","GBIF:1537212"
"Eumerus funeralis","GBIF:7198254"
"Vireo bellii","GBIF:2487441"
"Abraxas grossulariata","GBIF:1967873"
"Amphipoea oculea","GBIF:1771385"
"Lebbeus polaris","GBIF:2226328"
"Anchomenus dorsalis","GBIF:5754974"
"Plocamium cartilagineum","GBIF:5278595"
"Calanus hyperboreus","GBIF:5166405"
"Macaria liturata","GBIF:5880533"
"Oncorhynchus tshawytscha","GBIF:5204024"
"Ziziphus mucronata","GBIF:3875567"
"Boloria selene","GBIF:1912325"
"Emberiza citrinella","GBIF:2491534"
"Erithacus rubecula","GBIF:2492462"
"Neoascia podagrica","GBIF:1536796"
"Epirrhoe galiata","GBIF:1964637"
"Idaea emarginata","GBIF:5147245"
"Sebastes zacentrus","GBIF:2335429"
"Poecile rufescens","GBIF:2487783"
"Apamea anceps","GBIF:1796113"
"Watsonalla binaria","GBIF:1952806"
"Koeleria macrantha","GBIF:2705914"
"Platycheirus manicatus","GBIF:1543197"
"Strix uralensis","GBIF:2497509"
"Perisoreus canadensis","GBIF:2482436"
"Fagus sylvatica","GBIF:2882316"
"Passerina caerulea","GBIF:5230862"
"Cyanocitta cristata","GBIF:2482593"
"Chordeiles minor","GBIF:2497035"
"Episyrphus balteatus","GBIF:1536449"
"Scaeva pyrastri","GBIF:1537719"
"Emberiza rustica","GBIF:2491582"
"Regulus satrapa","GBIF:2484591"
"Rubus idaeus","GBIF:2993094"
"Sitta europaea","GBIF:2484916"
"Colias croceus","GBIF:5137612"
"Toxostoma curvirostre","GBIF:5231688"
"Prunus virginiana","GBIF:3022668"
"Arabidopsis thaliana","GBIF:3052436"
"Cyclophora punctaria","GBIF:5149665"
"Urophycis tenuis","GBIF:2415734"
"Piranga rubra","GBIF:2488485"
"Beringraja binoculata","GBIF:7913005"
"Dicranella heteromalla","GBIF:5281431"
"Harpalus tardus","GBIF:6097924"
"Pterostichus vernalis","GBIF:7975487"
"Platycheirus peltatus","GBIF:1543292"
"Tyrannus tyrannus","GBIF:5229688"
"Setophaga citrina","GBIF:6093374"
"Salix caprea","GBIF:5372952"
"Clymenella torquata","GBIF:5197206"
"Ilyanassa trivittata","GBIF:2303000"
"Galium verum","GBIF:9063248"
"Galium saxatile","GBIF:2914547"
"Pyronia tithonus","GBIF:7622059"
"Populus tremula","GBIF:3040249"
"Prunella modularis","GBIF:5231763"
"Echinocardium cordatum","GBIF:2278938"
"Grus canadensis","GBIF:2474953"
"Pitangus sulphuratus","GBIF:2482755"
"Platycheirus scutatus","GBIF:1543099"
"Bembidion tetracolum","GBIF:1035931"
"Syritta pipiens","GBIF:1544431"
"Cornus racemosa","GBIF:3082264"
"Earophila badiata","GBIF:1957012"
"Melanerpes uropygialis","GBIF:2478112"
"Sigambra tentaculata","GBIF:2316672"
"Pseudevernia furfuracea","GBIF:2605852"
"Hippoglossina oblonga","GBIF:2408805"
"Calanus helgolandicus","GBIF:5166394"
"Reinhardtius hippoglossoides","GBIF:2409383"
"Chordeiles acutipennis","GBIF:2497052"
"Eremobia ochroleuca","GBIF:5110670"
"Agrotis exclamationis","GBIF:1771214"
"Drymonia dodonaea","GBIF:5118896"
"Nebria brevicollis","GBIF:1035578"
"Limosa lapponica","GBIF:2481681"
"Corvus cornix","GBIF:2482515"
"Xanthoria parietina","GBIF:2609969"
"Eupeodes luniger","GBIF:1540875"
"Vireo olivaceus","GBIF:2487430"
"Betula pendula","GBIF:5331916"
"Cosmia trapezina","GBIF:1769566"
"Platycheirus clypeatus","GBIF:1543183"
"Junco hyemalis","GBIF:9362842"
"Pseudocaranx dentex","GBIF:2391175"
"Melanostoma mellinum","GBIF:5766554"
"Bartramia longicauda","GBIF:2481705"
"Pseudozizeeria maha","GBIF:1921150"
"Eupsilia transversa","GBIF:1758878"
"Lomographa bimaculata","GBIF:1986052"
"Lymantria monacha","GBIF:1820372"
"Chiasmia clathrata","GBIF:4525078"
"Peridea anceps","GBIF:1822346"
"Trachurus lathami","GBIF:5210468"
"Ostrya virginiana","GBIF:5332289"
"Chenopodium album","GBIF:3083838"
"Archilochus colubris","GBIF:5228514"
"Syrphus ribesii","GBIF:1537266"
"Lyopsetta exilis","GBIF:2409226"
"Meliscaeva auricollis","GBIF:1535529"
"Rhingia campestris","GBIF:1537412"
"Cheilosia pagana","GBIF:1539941"
"Catharus fuscescens","GBIF:2490804"
"Nephtys incisa","GBIF:2316952"
"Notodonta ziczac","GBIF:4534909"
"Lasiocampa quercus","GBIF:1734826"
"Scopula imitaria","GBIF:8014296"
"Angerona prunaria","GBIF:1965913"
"Betula alleghaniensis","GBIF:5331779"
"Setophaga petechia","GBIF:7341834"
"Sphaerophoria scripta","GBIF:1539177"
"Zonotrichia albicollis","GBIF:5231140"
"Eupeodes corollae","GBIF:1540742"
"Macrocystis pyrifera","GBIF:5422328"
"Kyphosus sydneyanus","GBIF:2381302"
"Notolabrus fucicola","GBIF:2383526"
"Opuntia engelmannii","GBIF:5384073"
"Boscia angustifolia","GBIF:5602553"
"Vachellia nilotica","GBIF:3974744"
"Vachellia tortilis","GBIF:3974700"
"Maerua angolensis","GBIF:7273321"
"Idaea dimidiata","GBIF:5146677"
"Scopula floslactata","GBIF:5145409"
"Limanda proboscidea","GBIF:5213962"
"Baetis rhodani","GBIF:4481106"
"Peromyscus maniculatus","GBIF:2437967"
"Myodes gapperi","GBIF:5706760"
"Napaeozapus insignis","GBIF:2439461"
"Hydnophora exesa","GBIF:2259533"
"Dipsastraea speciosa","GBIF:8400775"
"Scomber japonicus","GBIF:7599552"
"Sphyraena sphyraena","GBIF:2394271"
"Boops boops","GBIF:5210955"
"Fistularia petimba","GBIF:5200931"
"Maniola jurtina","GBIF:5135513"
"Patella vulgata","GBIF:5190391"
"Thymelicus lineola","GBIF:8133678"
"Merlangius merlangus","GBIF:2415788"
"Idotea balthica","GBIF:5176195"
"Arctia caja","GBIF:5115874"
"Diachrysia chrysitis","GBIF:1785888"
"Moma alpium","GBIF:1800004"
"Euplexia lucipara","GBIF:1776619"
"Lacanobia thalassina","GBIF:1759069"
"Autographa pulchrina","GBIF:1792411"
"Xanthia icteritia","GBIF:1771678"
"Dasypolia templi","GBIF:1769057"
"Mniotype adusta","GBIF:4533347"
"Noctua pronuba","GBIF:1789695"
"Euproctis chrysorrhoea","GBIF:1821856"
"Brachionycha nubeculosa","GBIF:1779435"
"Panolis flammea","GBIF:1793877"
"Autographa gamma","GBIF:1792418"
"Dysauxes ancilla","GBIF:1814630"
"Trachea atriplicis","GBIF:1760593"
"Lycophotia porphyrea","GBIF:1794590"
"Craniophora ligustri","GBIF:1791422"
"Xanthia togata","GBIF:1771698"
"Dypterygia scabriuscula","GBIF:1776862"
"Amphipoea lucens","GBIF:1771429"
"Abrostola triplasia","GBIF:1767597"
"Mesapamea secalis","GBIF:1788425"
"Acronicta rumicis","GBIF:1782672"
"Brachylomia viminalis","GBIF:1779690"
"Diarsia rubi","GBIF:4533446"
"Hoplodrina octogenaria","GBIF:4534290"
"Agrotis ipsilon","GBIF:1771245"
"Hypena proboscidalis","GBIF:1798807"
"Apamea remissa","GBIF:7438067"
"Lacanobia w latinum","GBIF:4533954"
"Plusia festucae","GBIF:1772179"
"Antitype chi","GBIF:1786902"
"Conistra vaccinii","GBIF:1768702"
"Cerastis rubricosa","GBIF:5110885"
"Diarsia mendica","GBIF:4533433"
"Macdunnoughia confusa","GBIF:1768117"
"Lacanobia oleracea","GBIF:1759083"
"Xestia c nigrum","GBIF:5714973"
"Apamea monoglypha","GBIF:1796145"
"Herminia tarsicrinalis","GBIF:5113084"
"Apamea crenata","GBIF:1796169"
"Diarsia brunnea","GBIF:4533431"
"Hydraecia micacea","GBIF:1796678"
"Bryophila domestica","GBIF:7981386"
"Orthosia gothica","GBIF:1798974"
"Cerapteryx graminis","GBIF:1763610"
"Cerastis leucographa","GBIF:5110871"
"Colocasia coryli","GBIF:5114198"
"Mythimna impura","GBIF:5772210"
"Ochropleura plecta","GBIF:1770477"
"Hada plebeja","GBIF:1761041"
"Diaphora mendica","GBIF:6097214"
"Apamea illyria","GBIF:4534485"
"Leucania comma","GBIF:5111574"
"Hadena capsincola","GBIF:1787841"
"Orthosia cerasi","GBIF:1798984"
"Callipepla gambelii","GBIF:5228072"
"Picoides dorsalis","GBIF:9543753"
"Catherpes mexicanus","GBIF:5231430"
"Aythya fuligula","GBIF:2498261"
"Locustella naevia","GBIF:2493548"
"Glycinde multidens","GBIF:2316509"
"Paraprionospio pinnata","GBIF:2321421"
"Glycera americana","GBIF:5195524"
"Nephtys picta","GBIF:2316959"
"Ampelisca abdita","GBIF:2219484"
"Edotia triloba","GBIF:2204911"
"Calliblepharis ciliata","GBIF:2667681"
"Fucus spiralis","GBIF:3196369"
"Laminaria hyperborea","GBIF:5422383"
"Ascophyllum nodosum","GBIF:3196524"
"Scytosiphon lomentaria","GBIF:5422803"
"Gelidium spinosum","GBIF:2662738"
"Hippoglossus hippoglossus","GBIF:2409218"
"Urophycis chuss","GBIF:2415718"
"Merluccius bilinearis","GBIF:2415637"
"Urophycis regia","GBIF:2415740"
"Zoarces americanus","GBIF:2380998"
"Paralichthys dentatus","GBIF:2408866"
"Chelon ramada","GBIF:9234296"
"Pomatoschistus minutus","GBIF:2379300"
"Stercorarius longicaudus","GBIF:2481613"
"Oligia fasciuncula","GBIF:1766510"
"Agrochola macilenta","GBIF:1790072"
"Pseudeustrotia candidula","GBIF:1799701"
"Idaea trigeminata","GBIF:5147232"
"Drymonia ruficornis","GBIF:5118892"
"Thera britannica","GBIF:5148424"
"Sabra harpagula","GBIF:1952449"
"Agriopis marginaria","GBIF:5769068"
"Scopula virgulata","GBIF:5145269"
"Athetis gluteosa","GBIF:1787213"
"Euphyia biangulata","GBIF:1965208"
"Eupithecia distinctaria","GBIF:1983535"
"Tautogolabrus adspersus","GBIF:2382945"
"Chiasmodon niger","GBIF:2394676"
"Volucella pellucens","GBIF:1541799"
"Melanostoma scalare","GBIF:5766556"
"Leuconotopicus villosus","GBIF:9192501"
"Quercus rubra","GBIF:2880539"
"Cladium mariscus","GBIF:2731327"
"Plebejus argus","GBIF:5138561"
"Apamea lithoxylaea","GBIF:4534486"
"Clostera curtula","GBIF:1822796"
"Amphipoea crinanensis","GBIF:1771391"
"Spilosoma lubricipeda","GBIF:1811896"
"Zenaida macroura","GBIF:2495347"
"Oxyurostylis smithi","GBIF:2214592"
"Sphagnum girgensohnii","GBIF:2669241"
"Bembidion guttula","GBIF:1036154"
"Calidris canutus","GBIF:2481765"
"Pleurozium schreberi","GBIF:2679715"
"Megaceryle alcyon","GBIF:2475472"
"Kurtiella bidentata","GBIF:4371646"
"Dryocopus pileatus","GBIF:5228824"
"Calliteara pudibunda","GBIF:1819145"
"Phibalapteryx virgata","GBIF:4524393"
"Halopteris filicina","GBIF:5423671"
"Zanclognatha lunalis","GBIF:4532508"
"Pluvialis squatarola","GBIF:2480327"
"Eristalis tenax","GBIF:1541217"
"Aplodactylus arctidens","GBIF:2394719"
"Epistrophe nitidicollis","GBIF:5766579"
"Allium oleraceum","GBIF:2857071"
"Acteocina canaliculata","GBIF:2291631"
"Callipepla californica","GBIF:5228080"
"Polyommatus icarus","GBIF:5140214"
"Delesseria sanguinea","GBIF:2661972"
"Fucus serratus","GBIF:3196437"
"Saccharina latissima","GBIF:4377207"
"Merodon equestris","GBIF:1544340"
"Nucula proxima","GBIF:2285569"
"Mergus merganser","GBIF:9537647"
"Charadrius hiaticula","GBIF:9566659"
"Sternula albifrons","GBIF:5789279"
"Melanitta fusca","GBIF:2498238"
"Citharichthys arctifrons","GBIF:2408719"
"Leistus spinibarbis","GBIF:4473903"
"Egira conspicillaris","GBIF:1792061"
"Parectropis similaria","GBIF:1958024"
"Hemithea aestivaria","GBIF:1991371"
"Idaea biselata","GBIF:5146961"
"Phigalia pilosaria","GBIF:4524740"
"Epistrophe eligans","GBIF:5766577"
"Colaptes auratus","GBIF:2478259"
"Cheilosia vernalis","GBIF:1539991"
"Anchoa hepsetus","GBIF:2413913"
"Charadrius dubius","GBIF:7937336"
"Selenia lunularia","GBIF:1962268"
"Ecliptopera silaceata","GBIF:1978445"
"Agrochola lota","GBIF:1790084"
"Upeneus parvus","GBIF:2396783"
"Platycheirus albimanus","GBIF:4516769"
"Leptoclinus maculatus","GBIF:2394832"
"Lestes sponsa","GBIF:1424038"
"Phoebastria nigripes","GBIF:2481383"
"Neocnemodon vitripennis","GBIF:8223744"
"Falcaria lacertinaria","GBIF:1952014"
"Lacinius ephippiatus","GBIF:4553401"
"Cuculus optatus","GBIF:5231898"
"Poecilus cupreus","GBIF:5753697"
"Poecilochaetus serpens","GBIF:2321590"
"Vitis riparia","GBIF:5372385"
"Pheosia gnoma","GBIF:1825971"
"Pheosia tremula","GBIF:1825983"
"Helophilus pendulus","GBIF:5071352"
"Dilsea carnosa","GBIF:2667034"
"Placopecten magellanicus","GBIF:2285952"
"Toxicodendron radicans","GBIF:3190628"
"Coenonympha pamphilus","GBIF:1911461"
"Aegolius funereus","GBIF:5739298"
"Anthus petrosus","GBIF:2490275"
"Populus grandidentata","GBIF:3040210"
"Colias hyale","GBIF:5137706"
"Colotois pennaria","GBIF:1968867"
"Turdus viscivorus","GBIF:2490774"
"Pieris napi","GBIF:1920494"
"Gymnura altavela","GBIF:5216232"
"Amusium papyraceum","GBIF:2285967"
"Aquila chrysaetos","GBIF:2480506"
"Picus canus","GBIF:2478548"
"Micropterus dolomieu","GBIF:5211250"
"Malacoraja senta","GBIF:2419827"
"Aspitates ochrearia","GBIF:1967265"
"Eupithecia subfuscata","GBIF:1983260"
"Corvus brachyrhynchos","GBIF:2482507"
"Demetrias atricapillus","GBIF:5757310"
"Calathus fuscipes","GBIF:4988363"
"Arctica islandica","GBIF:5189341"
"Dasysyrphus albostriatus","GBIF:1542111"
"Skeletonema costatum","GBIF:3193374"
"Ambloplites rupestris","GBIF:2394514"
"Aphantopus hyperantus","GBIF:1896841"
"Aplocera efformata","GBIF:1984954"
"Orthosia miniosa","GBIF:1799132"
"Lumpenus lampretaeformis","GBIF:5211321"
"Stephanolepis hispidus","GBIF:5213455"
"Hippoglossoides robustus","GBIF:2409099"
"Ctenodiscus crispatus","GBIF:2270545"
"Stenolophus mixtus","GBIF:5755952"
"Poecilocampa populi","GBIF:1732063"
"Harpalus rubripes","GBIF:5873218"
"Haemorhous cassinii","GBIF:8255548"
"Phaxas pellucidus","GBIF:2287245"
"Eristalis nemorum","GBIF:6098383"
"Recurvirostra americana","GBIF:2480258"
"Chrysotoxum festivum","GBIF:4516839"
"Alcis repandata","GBIF:5143380"
"Alitta succinea","GBIF:2315382"
"Pyrrhosoma nymphula","GBIF:1423540"
"Coenagrion hastulatum","GBIF:1422001"
"Tringa ochropus","GBIF:2481728"
"Gonepteryx rhamni","GBIF:1920712"
"Idaea straminata","GBIF:5147208"
"Notodonta dromedarius","GBIF:1825077"
"Agelaius tricolor","GBIF:2484445"
"Platynus assimilis","GBIF:8137203"
"Rissa tridactyla","GBIF:2481205"
"Pieris brassicae","GBIF:1920506"
"Phlogophora meticulosa","GBIF:1782560"
"Xanthorhoe spadicearia","GBIF:1986166"
"Allophyes oxyacanthae","GBIF:4534719"
"Graphium sarpedon","GBIF:5141212"
"Trichiurus lepturus","GBIF:2389407"
"Ptychadena mascareniensis","GBIF:2428925"
"Heliophanus cupreus","GBIF:2171923"
"Tellimya ferruginosa","GBIF:2287221"
"Chesias legatella","GBIF:1962990"
"Pectinaria gouldii","GBIF:5198816"
"Hypomecis punctinalis","GBIF:4524638"
"Polygonia c album","GBIF:1898544"
"Oxylebius pictus","GBIF:2336510"
"Hypogymnia physodes","GBIF:7247635"
"Phoenicurus ochruros","GBIF:5739315"
"Coenagrion puella","GBIF:1421964"
"Pachygnatha degeeri","GBIF:5170070"
"Engraulis mordax","GBIF:2414024"
"Crepidula fornicata","GBIF:5192789"
"Chthamalus stellatus","GBIF:2115620"
"Phyllodoce rosea","GBIF:5195062"
"Enallagma cyathigerum","GBIF:5051273"
"Rheumaptera undulata","GBIF:1977003"
"Leiostomus xanthurus","GBIF:5212294"
"Eupithecia tripunctaria","GBIF:1983705"
"Calanus finmarchicus","GBIF:5166399"
"Eupeodes latifasciatus","GBIF:1540691"
"Paragus haemorrhous","GBIF:1535781"
"Vanessa cardui","GBIF:4299368"
"Polytrichum formosum","GBIF:4280088"
"Gymnelus viridis","GBIF:2380942"
"Abra prismatica","GBIF:5189053"
"Rhinoptera bonasus","GBIF:5215777"
"Myliobatis freminvillei","GBIF:2419292"
"Uria aalge","GBIF:2481342"
"Parascotia fuliginaria","GBIF:1780150"
"Xestia triangulum","GBIF:5772351"
"Lepomis gibbosus","GBIF:2394486"
"Archilochus alexandri","GBIF:5228513"
"Bathytoshia centroura","GBIF:9363791"
"Luxilus cornutus","GBIF:2366967"
"Scorpaenichthys marmoratus","GBIF:5201222"
"Aglais urticae","GBIF:1894840"
"Amphiura filiformis","GBIF:2277820"
"Thalera fimbrialis","GBIF:1963306"
"Mustelus canis","GBIF:2418312"
"Cylichna cylindracea","GBIF:2291593"
"Nephtys longosetosa","GBIF:2317019"
"Spizelloides arborea","GBIF:7357320"
"Ampelisca tenuicornis","GBIF:2219387"
"Platycheirus angustatus","GBIF:1543227"
"Sabellaria vulgaris","GBIF:5199263"
"Lanice conchilega","GBIF:2325106"
"Chlamys islandica","GBIF:5188891"
"Rhytidiadelphus loreus","GBIF:2679711"
"Locustella fluviatilis","GBIF:2493549"
"Phorcus lineatus","GBIF:7992320"
"Chrysotoxum verralli","GBIF:1535909"
"Chionoecetes opilio","GBIF:2226639"
"Polytrichum commune","GBIF:2683084"
"Gymnoscelis rufifasciata","GBIF:1992066"
"Tympanuchus cupido","GBIF:2473510"
"Alcedo atthis","GBIF:2475532"
"Glycera alba","GBIF:5195463"
"Carabus problematicus","GBIF:4470555"
"Stercorarius parasiticus","GBIF:2481621"
"Ficedula parva","GBIF:2492605"
"Glycinde nordmanni","GBIF:2316513"
"Epione repandaria","GBIF:1975546"
"Vanessa atalanta","GBIF:1898286"
"Plagodis dolabraria","GBIF:1959914"
"Elaphria venustula","GBIF:1780378"
"Nola cucullatella","GBIF:1801896"
"Brachythecium rutabulum","GBIF:2679898"
"Xestia castanea","GBIF:5112336"
"Dumontia contorta","GBIF:5279349"
"Chamelea gallina","GBIF:2287705"
"Adalia bipunctata","GBIF:1043097"
"Lymantria dispar","GBIF:1820406"
"Pardosa purbeckensis","GBIF:6098909"
"Pterostichus strenuus","GBIF:7508714"
"Callinectes sapidus","GBIF:2225646"
"Araschnia levana","GBIF:1902533"
"Deltote pygarga","GBIF:4532890"
"Electrophaes corylata","GBIF:1976163"
"Micropogonias undulatus","GBIF:2399874"
"Eupithecia dodoneata","GBIF:1983442"
"Penaeus setiferus","GBIF:2223875"
"Hypocenomyce scalaris","GBIF:3434172"
"Acanthodactylus erythrurus","GBIF:5226733"
"Notropis atherinoides","GBIF:2362170"
"Habrosyne pyritoides","GBIF:1952062"
"Desmarestia ligulata","GBIF:5423338"
"Operophtera brumata","GBIF:1972449"
"Leucoraja garmani","GBIF:2419858"
"Charadrius leschenaultii","GBIF:2480297"
"Turdus migratorius","GBIF:9510564"
"Lomaspilis marginata","GBIF:5149438"
"Lampropteryx suffumata","GBIF:4524072"
"Laspeyria flexula","GBIF:1769103"
"Acupalpus dubius","GBIF:4475677"
"Sebastes paucispinis","GBIF:2335466"
"Crex crex","GBIF:4408498"
"Trichodon trichodon","GBIF:5210437"
"Chromis punctipinnis","GBIF:5212202"
"Hydrocoloeus minutus","GBIF:6065841"
"Coturnix coturnix","GBIF:2474156"
"Idaea fuscovenosa","GBIF:5147193"
"Eupithecia pusillata","GBIF:1982541"
"Hippodamia variegata","GBIF:1043082"
"Epirrita dilutata","GBIF:4523564"
"Mytilus edulis","GBIF:8288896"
"Phycis chesteri","GBIF:5214921"
"Cyanocorax yncas","GBIF:2482565"
"Xestia baja","GBIF:5112291"
"Eupithecia nanata","GBIF:8015895"
"Stercorarius skua","GBIF:2481618"
"Loricera pilicornis","GBIF:1035290"
"Phrurolithus festivus","GBIF:2148794"
"Robertus lividus","GBIF:2155895"
"Cabera exanthemata","GBIF:5143675"
"Meganola albula","GBIF:4534767"
"Calophasia lunula","GBIF:1796463"
"Ixoreus naevius","GBIF:2490926"
"Corylus americana","GBIF:2876060"
"Prunus serotina","GBIF:3021850"
"Lagodon rhomboides","GBIF:2392516"
"Echinocyamus pusillus","GBIF:2279077"
"Oligia versicolor","GBIF:1766418"
"Photedes minima","GBIF:1792383"
"Pleuronectes platessa","GBIF:7700106"
"Poecilus versicolor","GBIF:5753720"
"Cyanocitta stelleri","GBIF:2482598"
"Amphipyra pyramidea","GBIF:1766137"
"Enoplognatha ovata","GBIF:2158077"
"Dicranodontium denudatum","GBIF:2675239"
"Pomatomus saltatrix","GBIF:5208090"
"Xanthorhoe designata","GBIF:1986575"
"Quiscalus mexicanus","GBIF:9476062"
"Libythea lepita","GBIF:1909865"
"Orthosia incerta","GBIF:1799135"
"Eupithecia absinthiata","GBIF:1983896"
"Hypanus americanus","GBIF:9335213"
"Anser anser","GBIF:2498036"
"Xanthorhoe fluctuata","GBIF:1986157"
"Thera obeliscata","GBIF:5148487"
"Pardosa amentata","GBIF:2146241"
"Agrochola circellaris","GBIF:1790160"
"Nephtys hombergii","GBIF:2317011"
"Ampelisca brevicornis","GBIF:2219446"
"Helicoverpa armigera","GBIF:8108800"
"Silene latifolia","GBIF:5384805"
"Sardinops sagax","GBIF:2412583"
"Icterus cucullatus","GBIF:5229882"
"Sphoeroides maculatus","GBIF:2407857"
"Oedothorax apicatus","GBIF:2136050"
"Erigone dentipalpis","GBIF:2137716"
"Campaea margaritaria","GBIF:1978776"
"Amaurobius fenestralis","GBIF:2141571"
"Agonum thoreyi","GBIF:4988447"
"Alces alces","GBIF:2440940"
"Papilio protenor","GBIF:1938052"
"Phyllodoce groenlandica","GBIF:5195037"
"Sphyrapicus thyroideus","GBIF:2478602"
"Erannis defoliaria","GBIF:1956599"
"Eupithecia pulchellata","GBIF:1983000"
"Circus aeruginosus","GBIF:2480482"
"Anticlea derivata","GBIF:1975793"
"Fabulina fabula","GBIF:2286847"
"Microgadus proximus","GBIF:2415888"
"Micropterus salmoides","GBIF:2394563"
"Penaeus aztecus","GBIF:2223840"
"Pygaera timon","GBIF:7875265"
"Westwoodilla caecula","GBIF:2218827"
"Semibalanus balanoides","GBIF:2115784"
"Clubiona phragmitis","GBIF:2144109"
"Eupithecia vulgata","GBIF:1982542"
"Celaena haworthii","GBIF:4534463"
"Lunella coronata","GBIF:5724158"
"Ophiodon elongatus","GBIF:2336521"
"Selenia dentaria","GBIF:1962204"
