"species_harmonized","usageKey"
"Bembidion aeneum","GBIF:4308804"
"Dendrocopos major","GBIF:2477968"
"Accipiter nisus","GBIF:2480637"
"Carduelis carduelis","GBIF:2494686"
"Thalassarche chrysostoma","GBIF:2481408"
"Phoenicurus phoenicurus","GBIF:5739317"
"Tringa melanoleuca","GBIF:2481720"
"Cygnus columbianus","GBIF:2498338"
"Harpalus rufipes","GBIF:9198953"
"Chroicocephalus ridibundus","GBIF:6065824"
"Digitalis purpurea","GBIF:5414995"
"Pungitius pungitius","GBIF:5739510"
"Troglodytes troglodytes","GBIF:5231438"
"Achelous spinimanus","GBIF:5863626"
"Erynnis tages","GBIF:8270406"
"Agonum marginatum","GBIF:5755011"
"Tripos lineatus","GBIF:7419343"
"Sebastes proriger","GBIF:2335489"
"Larus argentatus","GBIF:2481139"
"Cistothorus platensis","GBIF:2493890"
"Ahnfeltia plicata","GBIF:2663815"
"Lycodes palearis","GBIF:5209395"
"Dendrocopos leucotos","GBIF:2477927"
"Surnia ulula","GBIF:2497894"
"Corvus frugilegus","GBIF:2482513"
"Cardinalis cardinalis","GBIF:2490384"
"Sebastes brevispinis","GBIF:2335560"
"Jodis lactearia","GBIF:1978065"
"Regulus calendula","GBIF:2484597"
"Icterus galbula","GBIF:2484340"
"Ophonus rufibarbis","GBIF:4475140"
"Bubo bubo","GBIF:5959092"
"Loxia leucoptera","GBIF:8144830"
"Spinus pinus","GBIF:5231635"
"Setophaga striata","GBIF:6092935"
"Calamospiza melanocorys","GBIF:2491893"
"Spizella passerina","GBIF:2492109"
"Agrochola helvola","GBIF:1790002"
"Turdus pilaris","GBIF:2490737"
"Tympanuchus phasianellus","GBIF:2473514"
"Oceanites oceanicus","GBIF:5229419"
"Larus marinus","GBIF:2481172"
"Loxia curvirostra","GBIF:9629160"
"Amara eurynota","GBIF:4472858"
"Motacilla flava","GBIF:9701857"
"Larus californicus","GBIF:2481146"
"Aythya marila","GBIF:2498265"
"Solea solea","GBIF:5214139"
"Calidris minutilla","GBIF:2481745"
"Conistra ligula","GBIF:1768729"
"Helicolenus dactylopterus","GBIF:4286361"
"Doryteuthis pealeii","GBIF:5855960"
"Xanthorhoe ferrugata","GBIF:1986171"
"Pseudoips prasinana","GBIF:1802280"
"Rhizosolenia styliformis","GBIF:5421984"
"Pseudo nitzschia seriata","GBIF:2628775"
"Turdus philomelos","GBIF:7901064"
"Agelaius phoeniceus","GBIF:9409198"
"Ectropis crepuscularia","GBIF:1980783"
"Sayornis phoebe","GBIF:2483606"
"Pelurga comitata","GBIF:5148286"
"Lasiommata megera","GBIF:4535632"
"Spizella breweri","GBIF:2492099"
"Pipilo chlorurus","GBIF:2491276"
"Fabriciana adippe","GBIF:7809779"
"Phalacrocorax carbo","GBIF:2481890"
"Poecile hudsonicus","GBIF:2487793"
"Sylvia communis","GBIF:2492943"
"Myoxocephalus scorpius","GBIF:2333785"
"Pica nuttalli","GBIF:5229489"
"Anas acuta","GBIF:2498112"
"Diastylis bradyi","GBIF:2214508"
"Saurida brasiliensis","GBIF:2401157"
"Bifurcaria bifurcata","GBIF:3197821"
"Motacilla alba","GBIF:9687165"
"Ammodramus savannarum","GBIF:2491123"
"Carabus nemoralis","GBIF:8056040"
"Fagus grandifolia","GBIF:2882274"
"Agrochola lychnidis","GBIF:4533115"
"Oreortyx pictus","GBIF:2474320"
"Bradycellus ruficollis","GBIF:5755986"
"Paraeuchaeta hebes","GBIF:2114404"
"Parophrys vetulus","GBIF:2409370"
"Phylloscopus trochilus","GBIF:2493052"
"Rhagium mordax","GBIF:9128025"
"Dicheirotrichus gustavii","GBIF:4308789"
"Athene cunicularia","GBIF:2497240"
"Sterna paradisaea","GBIF:5229230"
"Certhia familiaris","GBIF:2487603"
"Calcarius lapponicus","GBIF:2491678"
"Charadrius vociferus","GBIF:2480320"
"Anas americana","GBIF:2498154"
"Gallinago gallinago","GBIF:2481819"
"Columba oenas","GBIF:2495471"
"Plagodis pulveraria","GBIF:1959919"
"Hippolais icterina","GBIF:2493220"
"Varicorbula gibba","GBIF:2288891"
"Melanerpes aurifrons","GBIF:2478081"
"Milvus migrans","GBIF:5229167"
"Nephtys cirrosa","GBIF:2316920"
"Aspidophoroides monopterygius","GBIF:2337193"
"Doryteuthis opalescens","GBIF:5855962"
"Geococcyx californianus","GBIF:2496459"
"Lycaena phlaeas","GBIF:1929697"
"Alosa aestivalis","GBIF:2412708"
"Anthus pratensis","GBIF:2490266"
"Anas platyrhynchos","GBIF:9761484"
"Desmarestia aculeata","GBIF:5423373"
"Amara familiaris","GBIF:1035195"
"Stomis pumicatus","GBIF:4473297"
"Tadorna tadorna","GBIF:2498009"
"Accipiter cooperii","GBIF:2480621"
"Scophthalmus aquosus","GBIF:2409401"
"Pyrrhula pyrrhula","GBIF:2494543"
"Catharus guttatus","GBIF:2490810"
"Circus cyaneus","GBIF:2480487"
"Sylvia curruca","GBIF:2492960"
"Phylloscopus collybita","GBIF:2493091"
"Regulus regulus","GBIF:2484596"
"Peribatodes rhomboidaria","GBIF:1957572"
"Cyanistes caeruleus","GBIF:2487879"
"Pandalus platyceros","GBIF:2222359"
"Pseudopleuronectes americanus","GBIF:2409062"
"Haliaeetus leucocephalus","GBIF:2480446"
"Spiophanes kroyeri","GBIF:2321061"
"Pica pica","GBIF:5229490"
"Asio otus","GBIF:2497306"
"Cinclus cinclus","GBIF:2495093"
"Lophophanes cristatus","GBIF:2487883"
"Turdus merula","GBIF:2490719"
"Bradycellus harpalinus","GBIF:1035434"
"Picea abies","GBIF:5284884"
"Passerculus sandwichensis","GBIF:5231142"
"Sylvia borin","GBIF:2492942"
"Mediomastus ambiseta","GBIF:2318053"
"Petrochelidon pyrrhonota","GBIF:2489169"
"Agriopis leucophaearia","GBIF:5769062"
"Calathus cinctus","GBIF:5755322"
"Bembidion obtusum","GBIF:1036192"
"Certhia americana","GBIF:9581157"
"Larus hyperboreus","GBIF:2481127"
"Glyptocephalus zachirus","GBIF:5214001"
"Carabus granulatus","GBIF:1036789"
"Columba palumbus","GBIF:2495455"
"Abra alba","GBIF:5189061"
"Larus canus","GBIF:7982160"
"Scolopax rusticola","GBIF:2481700"
"Thalpophila matura","GBIF:5110213"
"Passer montanus","GBIF:5231198"
"Cicindela campestris","GBIF:4480485"
"Falco sparverius","GBIF:9685907"
"Dryobates scalaris","GBIF:8959883"
"Gavia immer","GBIF:2481962"
"Myiarchus crinitus","GBIF:2483597"
"Pandalus borealis","GBIF:2222355"
"Muscicapa striata","GBIF:2492576"
"Clivina fossor","GBIF:1036893"
"Lanius ludovicianus","GBIF:2492870"
"Poecile montanus","GBIF:2487866"
"Ammodramus maritimus","GBIF:2491095"
"Passerina cyanea","GBIF:2490327"
"Actitis macularius","GBIF:2481798"
"Thalassionema nitzschioides","GBIF:7929281"
"Catarhoe rubidata","GBIF:1964191"
"Caradrina morpheus","GBIF:1765011"
"Leistus ferrugineus","GBIF:4473860"
"Trechus obtusus","GBIF:1037319"
"Plectrophenax nivalis","GBIF:2491719"
"Ammodramus leconteii","GBIF:2491080"
"Halieutichthys aculeatus","GBIF:2415008"
"Himantopus mexicanus","GBIF:5229128"
"Mulinia lateralis","GBIF:2286388"
"Luperina testacea","GBIF:1770307"
"Streblospio benedicti","GBIF:2321343"
"Cybosia mesomella","GBIF:1804906"
"Paradarisa consonaria","GBIF:1967597"
"Mythimna turca","GBIF:1767655"
"Tringa glareola","GBIF:2481713"
"Numenius americanus","GBIF:2481794"
"Boreogadus saida","GBIF:2415752"
"Plemyria rubiginata","GBIF:5146412"
"Chondestes grammacus","GBIF:2491651"
"Bembidion properans","GBIF:1036203"
"Setophaga virens","GBIF:6092631"
"Larus delawarensis","GBIF:2481134"
"Hippoglossoides elassodon","GBIF:2409109"
"Periparus ater","GBIF:2487871"
"Botaurus stellaris","GBIF:2480910"
"Plagiothecium curvifolium","GBIF:5283485"
"Nebria salina","GBIF:4473795"
"Thryomanes bewickii","GBIF:2493843"
"Lycodes reticulatus","GBIF:8406566"
"Anthus rubescens","GBIF:2490263"
"Mergellus albellus","GBIF:2498285"
"Alosa pseudoharengus","GBIF:2412740"
"Brosme brosme","GBIF:2415505"
"Mimus polyglottos","GBIF:5231677"
"Spizella pusilla","GBIF:2492096"
"Selenia tetralunaria","GBIF:1962265"
"Atethmia centrago","GBIF:1759153"
"Setophaga cerulea","GBIF:6093350"
"Metridia lucens","GBIF:11082687"
"Gavia arctica","GBIF:2481959"
"Argynnis paphia","GBIF:1909398"
"Phalaropus lobatus","GBIF:5739290"
"Accipiter gentilis","GBIF:2480589"
"Chionoecetes bairdi","GBIF:2226642"
"Microlestes maurus","GBIF:5873271"
